"error_severity","event_message","id","identifier","timestamp"
"LOG","connection received: host=::1 port=58927","e3df314b-ca59-48e8-b7c5-d9efe2155697","emczcwlvbdrkaoyhpxzy","1737098893578000"
"LOG","connection received: host=::1 port=58911","08e5c676-2801-4fb6-8b9a-6bcdbf640ddd","emczcwlvbdrkaoyhpxzy","1737098893560000"
"LOG","connection received: host=::1 port=58925","62a167bd-3075-45f8-a2b8-7ed9128a6687","emczcwlvbdrkaoyhpxzy","1737098893560000"
"LOG","connection received: host=::1 port=58909","91a6b29e-12b0-4b02-81a8-dfce7d4de042","emczcwlvbdrkaoyhpxzy","1737098893560000"
"LOG","connection received: host=::1 port=58891","c696e361-b93d-4823-99b4-1a8e0f3c6d2a","emczcwlvbdrkaoyhpxzy","1737098893559000"
"LOG","connection received: host=::1 port=58879","e6c2feba-eb8d-44db-aa2f-5375ff0e4310","emczcwlvbdrkaoyhpxzy","1737098893559000"
"LOG","connection received: host=::1 port=58905","e3640383-1cc0-400e-b9ca-f17d1bdb1cb9","emczcwlvbdrkaoyhpxzy","1737098893559000"
"LOG","connection received: host=::1 port=58873","a5febb21-2bc6-4f18-9d30-709f32fdb47f","emczcwlvbdrkaoyhpxzy","1737098893558000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter","a9c52dfe-6ce0-4b98-909d-ce727763c41f","emczcwlvbdrkaoyhpxzy","1737098850151000"
"LOG","connection received: host=::1 port=52703","766f020a-35a8-4542-a164-664962343b68","emczcwlvbdrkaoyhpxzy","1737098850150000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","006fe828-429c-452d-ade3-cdff6ee7583d","emczcwlvbdrkaoyhpxzy","1737098813612000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","110706e8-d00b-4a71-88ef-53b739b81f4a","emczcwlvbdrkaoyhpxzy","1737098813612000"
"LOG","connection received: host=2406:da18:96a:8201:c6c6:c82e:8fcf:131e port=33538","5d7e941b-2bef-4645-9794-bb4a71691dd4","emczcwlvbdrkaoyhpxzy","1737098813592000"
